Time Spent Per Activity Instance


Time Spent    Activity
------------  -------------
7:50:12       Sleeping
0:02:12       Toileting
0:07:16       Showering
0:08:37       Breakfast
0:01:25       Grooming
2:13:26       Spare_Time/TV
0:00:27       Toileting
0:19:38       Leaving
0:43:00       Spare_Time/TV
0:04:29       Toileting
0:36:49       Lunch
0:01:30       Grooming
5:12:59       Spare_Time/TV
0:00:04       Snack
5:44:45       Spare_Time/TV
9:15:00       Sleeping
0:05:00       Toileting
0:11:16       Grooming
0:01:16       Showering
0:09:32       Breakfast
0:02:59       Grooming
0:02:21       Spare_Time/TV
0:00:03       Snack
1:46:48       Spare_Time/TV
0:00:29       Toileting
0:31:21       Lunch
0:01:03       Grooming
0:25:54       Spare_Time/TV
0:13:27       Toileting
0:33:50       Spare_Time/TV
0:00:31       Toileting
1:14:22       Spare_Time/TV
1:21:23       Leaving
4:51:47       Spare_Time/TV
8:44:58       Sleeping
0:02:52       Toileting
0:03:48       Showering
0:12:01       Breakfast
0:01:43       Grooming
2:23:21       Spare_Time/TV
0:00:04       Snack
1:03:56       Spare_Time/TV
0:00:32       Toileting
0:20:24       Spare_Time/TV
0:20:42       Lunch
1:27:23       Spare_Time/TV
0:00:23       Toileting
0:00:04       Snack
1:19:23       Spare_Time/TV
0:00:03       Toileting
0:41:26       Spare_Time/TV
0:00:26       Toileting
0:39:31       Spare_Time/TV
0:00:25       Toileting
0:18:28       Leaving
0:00:09       Grooming
5:20:24       Spare_Time/TV
9:12:53       Sleeping
0:00:29       Grooming
0:13:45       Showering
0:12:44       Breakfast
2:58:56       Spare_Time/TV
0:25:25       Lunch
1:17:17       Spare_Time/TV
0:00:29       Toileting
0:19:37       Spare_Time/TV
0:09:50       Grooming
0:15:31       Spare_Time/TV
4:22:51       Spare_Time/TV
0:00:28       Grooming
1:24:00       Spare_Time/TV
0:00:13       Grooming
0:49:08       Spare_Time/TV
0:04:23       Grooming
9:59:24       Sleeping
0:04:40       Toileting
0:04:21       Showering
2:08:42       Spare_Time/TV
0:33:00       Lunch
0:31:07       Spare_Time/TV
0:01:53       Grooming
0:38:05       Spare_Time/TV
0:10:00       Toileting
2:51:29       Spare_Time/TV
0:00:06       Snack
1:44:55       Spare_Time/TV
0:17:28       Toileting
3:54:37       Spare_Time/TV
10:09:18      Sleeping
0:02:00       Toileting
0:02:26       Grooming
0:03:50       Showering
0:08:55       Breakfast
1:07:06       Spare_Time/TV
0:00:59       Grooming
0:31:32       Spare_Time/TV
0:03:33       Grooming
3:30:26       Leaving
6:03:10       Spare_Time/TV
0:00:51       Toileting
3:20:55       Spare_Time/TV
9:18:32       Sleeping
0:05:59       Toileting
0:01:17       Grooming
0:03:59       Showering
0:03:40       Breakfast
0:57:17       Spare_Time/TV
0:03:30       Toileting
2:19:11       Leaving
0:51:39       Spare_Time/TV
0:00:05       Snack
0:16:40       Spare_Time/TV
0:00:59       Grooming
0:49:24       Spare_Time/TV
0:01:27       Toileting
0:00:06       Snack
3:20:55       Spare_Time/TV
0:01:00       Toileting
3:05:50       Spare_Time/TV
0:00:05       Grooming
10:13:45      Sleeping
0:00:30       Toileting
0:00:08       Grooming
0:07:33       Showering
0:09:48       Breakfast
0:40:17       Spare_Time/TV
0:00:06       Grooming
0:16:59       Leaving
0:43:08       Lunch
0:01:34       Grooming
0:00:16       Toileting
0:17:14       Spare_Time/TV
0:30:00       Toileting
0:37:17       Spare_Time/TV
1:40:09       Leaving
0:22:20       Spare_Time/TV
0:00:05       Snack
0:42:57       Spare_Time/TV
0:00:15       Grooming
0:00:40       Toileting
0:57:25       Spare_Time/TV
0:00:08       Toileting
0:00:16       Grooming
3:31:10       Spare_Time/TV
0:01:40       Toileting
9:24:43       Sleeping
0:00:53       Toileting
0:01:56       Grooming
0:13:38       Showering
0:05:07       Breakfast
2:58:16       Spare_Time/TV
0:35:05       Lunch
0:01:57       Grooming
1:49:18       Spare_Time/TV
0:06:00       Toileting
0:46:52       Spare_Time/TV
0:00:12       Grooming
1:14:57       Spare_Time/TV
0:00:05       Snack
0:00:24       Grooming
4:27:10       Spare_Time/TV
0:00:10       Grooming
0:46:40       Spare_Time/TV
0:00:24       Toileting
9:45:44       Sleeping
0:03:11       Toileting
0:13:41       Grooming
0:05:41       Showering
0:07:47       Breakfast
2:33:12       Spare_Time/TV
0:35:56       Lunch
0:46:04       Spare_Time/TV
0:00:18       Grooming
0:00:04       Toileting
0:39:13       Spare_Time/TV
0:05:43       Grooming
1:46:51       Leaving
0:00:03       Grooming
0:00:03       Toileting
1:05:55       Spare_Time/TV
0:04:51       Snack
0:00:28       Snack
0:00:28       Toileting
0:02:06       Spare_Time/TV
2:27:07       Spare_Time/TV
0:00:16       Toileting
2:12:16       Spare_Time/TV
9:34:48       Sleeping
0:00:11       Grooming
0:00:09       Toileting
0:00:11       Grooming
0:04:55       Showering
0:08:49       Breakfast
2:05:10       Spare_Time/TV
0:00:12       Grooming
2:11:38       Leaving
5:48:56       Spare_Time/TV
0:00:14       Grooming
