
Raw Data:

  Jurisdiction Name    Number of Hispanic Residents
-------------------  ------------------------------
              10001                              16
              10002                               1
              10003                               0
              10004                               0
              10005                               0
              10006                               2
              10007                               0
              10009                               0
              10010                               0
              10011                               1
              10012                               0
              10013                               0
              10014                               0
              10016                               9
              10017                               0
              10018                               0
              10019                               0
              10020                               0
              10021                               0
              10022                               0
              10023                               3
              10024                               0
              10025                              15
              10026                               0
              10027                               1
              10028                               0
              10029                               4
              10030                               0
              10031                               0
              10032                               9
              10033                               0
              10034                               0
              10035                               0
              10036                               0
              10037                               0
              10038                               2
              10039                               0
              10040                               3
              10044                               0
              10045                               0
              10065                               0
              10115                               0
              10119                               0
              10128                               0
              10154                               0
              10278                               0
              10280                               0
              10301                               0
              10302                               0
              10303                               0
              10304                               0
              10305                               0
              10306                               0
              10307                               0
              10309                               0
              10310                               0
              10312                               0
              10314                               0
              10451                              22
              10452                              10
              10453                               6
              10454                               7
              10455                               5
              10456                               3
              10457                               0
              10458                              24
              10459                               3
              10460                               9
              10461                              21
              10462                               1
              10463                              36
              10464                               7
              10465                              14
              10466                              14
              10467                              51
              10468                              35
              10469                               4
              10471                              27
              10472                               0
              10473                               0
              10474                               0
              10475                               7
              10514                               0
              10543                               0
              10553                               0
              10573                               0
              10701                               0
              10705                               0
              10911                               0
              10965                               0
              10977                               0
              11001                               0
              11021                               0
              11050                               0
              11101                               0
              11102                               0
              11103                               0
              11104                               0
              11105                               0
              11106                               0
              11111                               0
              11112                               0
              11201                               2
              11202                               0
              11203                               2
              11204                               0
              11205                               0
              11206                               0
              11207                               0
              11208                               0
              11209                               0
              11210                               0
              11211                               2
              11212                               1
              11213                               0
              11214                               0
              11215                               0
              11216                               0
              11217                               0
              11218                               1
              11219                               1
              11220                               0
              11221                               0
              11222                               0
              11223                               1
              11224                              14
              11225                               0
              11226                               6
              11228                               0
              11229                               2
              11230                               1
              11231                               0
              11232                               0
              11233                               0
              11234                               8
              11235                               7
              11236                               0
              11237                               0
              11238                               0
              11239                               0
              11252                               0
              11354                               1
              11355                               0
              11356                               0
              11357                               0
              11358                               0
              11360                               0
              11361                               0
              11362                               0
              11364                               0
              11365                               0
              11366                               0
              11367                               0
              11368                               3
              11369                               0
              11370                               0
              11371                               0
              11372                               2
              11373                               0
              11374                               0
              11375                               2
              11377                               0
              11378                               0
              11379                               0
              11385                               0
              11411                               0
              11412                               0
              11413                               0
              11414                               0
              11415                               0
              11416                               0
              11417                               0
              11418                               1
              11419                               0
              11420                               1
              11421                               0
              11422                               0
              11423                               0
              11424                               0
              11425                               0
              11426                               0
              11427                               1
              11428                               0
              11429                               0
              11430                               0
              11431                               0
              11432                               0
              11433                               0
              11434                               0
              11435                               0
              11436                               0
              11439                               0
              11451                               0
              11471                               0
              11510                               6
              11548                               0
              11566                               0
              11577                               0
              11580                               0
              11598                               0
              11629                               0
              11691                               0
              11692                               0
              11693                               0
              11694                               0
              11695                               0
              11731                               0
              11798                               0
              11968                               0
              12423                               0
              12428                               1
              12435                               0
              12458                               0
              12466                               0
              12473                               0
              12528                               0
              12701                               0
              12733                               0
              12734                               0
              12737                               0
              12750                               0
              12751                               0
              12754                               0
              12758                               0
              12759                               0
              12763                               0
              12764                               0
              12768                               0
              12779                               0
              12783                               0
              12786                               0
              12788                               0
              12789                               0
              13731                               0
              16091                               0
              20459                               0
Cause of Death                                        Ethnicity of Victim             Number of Deaths
----------------------------------------------------  ----------------------------  ------------------
HUMAN IMMUNODEFICIENCY VIRUS DISEASE                  NON-HISPANIC BLACK                           297
INFLUENZA AND PNEUMONIA                               NON-HISPANIC BLACK                           201
INTENTIONAL SELF-HARM (SUICIDE)                       NON-HISPANIC BLACK                            64
MALIGNANT NEOPLASMS                                   NON-HISPANIC BLACK                          1540
MENTAL DISORDERS DUE TO USE OF ALCOHOL                NON-HISPANIC BLACK                            50
NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS           NON-HISPANIC BLACK                            70
PEPTIC ULCER                                          NON-HISPANIC BLACK                            13
PSYCH. SUBSTANCE USE &amp; ACCIDENTAL DRUG POISONING  NON-HISPANIC BLACK                           111
SEPTICEMIA                                            NON-HISPANIC BLACK                            36
SHORT GESTATION/LBW                                   NON-HISPANIC BLACK                            35
VIRAL HEPATITIS                                       NON-HISPANIC BLACK                            49
ACCIDENTS EXCEPT DRUG POISONING                       NON-HISPANIC WHITE                           164
ALZHEIMERS DISEASE                                    NON-HISPANIC WHITE                           247
AORTIC ANEURYSM AND DISSECTION                        NON-HISPANIC WHITE                            22
ATHEROSCLEROSIS                                       NON-HISPANIC WHITE                            74
BENIGN AND UNCERTAIN NEOPLASMS                        NON-HISPANIC WHITE                            69
CEREBROVASCULAR DISEASE                               NON-HISPANIC WHITE                           382
CHOLELITHIASIS AND DISORDERS OF GALLBLADDER           NON-HISPANIC WHITE                            19
CHRONIC LIVER DISEASE AND CIRRHOSIS                   NON-HISPANIC WHITE                            67
CHRONIC LOWER RESPIRATORY DISEASES                    NON-HISPANIC WHITE                           502
CONGENITAL MALFORMATIONS,DEFORMATIONS                 NON-HISPANIC WHITE                            32
DIABETES MELLITUS                                     NON-HISPANIC WHITE                           258
DISEASES OF HEART                                     NON-HISPANIC WHITE                          5351
ESSENTIAL HYPERTENSION AND RENAL DISEASES             NON-HISPANIC WHITE                           219
HUMAN IMMUNODEFICIENCY VIRUS DISEASE                  NON-HISPANIC WHITE                            24
INFLUENZA AND PNEUMONIA                               NON-HISPANIC WHITE                           707
INTENTIONAL SELF-HARM (SUICIDE)                       NON-HISPANIC WHITE                            61
MALIGNANT NEOPLASMS                                   NON-HISPANIC WHITE                          3438
MENTAL DISORDERS DUE TO USE OF ALCOHOL                NON-HISPANIC WHITE                            16
NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS           NON-HISPANIC WHITE                            90
PARKINSONS DISEASE                                    NON-HISPANIC WHITE                            55
PEPTIC ULCER                                          NON-HISPANIC WHITE                            22
PSYCH. SUBSTANCE USE &amp; ACCIDENTAL DRUG POISONING  NON-HISPANIC WHITE                            75
SEPTICEMIA                                            NON-HISPANIC WHITE                           107
SHORT GESTATION/LBW                                   NON-HISPANIC WHITE                            14
VIRAL HEPATITIS                                       NON-HISPANIC WHITE                            32
ACCIDENTS EXCEPT DRUG POISONING                       NON-HISPANIC WHITE                           272
ALZHEIMERS DISEASE                                    NON-HISPANIC WHITE                            94
AORTIC ANEURYSM AND DISSECTION                        NON-HISPANIC WHITE                            49
ASSAULT (HOMICIDE)                                    NON-HISPANIC WHITE                            25
ATHEROSCLEROSIS                                       NON-HISPANIC WHITE                            46
BENIGN AND UNCERTAIN NEOPLASMS                        NON-HISPANIC WHITE                            91
CEREBROVASCULAR DISEASE                               NON-HISPANIC WHITE                           276
CHRONIC LIVER DISEASE AND CIRRHOSIS                   NON-HISPANIC WHITE                           110
CHRONIC LOWER RESPIRATORY DISEASES                    NON-HISPANIC WHITE                           388
CONGENITAL MALFORMATIONS,DEFORMATIONS                 NON-HISPANIC WHITE                            33
DIABETES MELLITUS                                     NON-HISPANIC WHITE                           245
DISEASES OF HEART                                     NON-HISPANIC WHITE                          4495
ESSENTIAL HYPERTENSION AND RENAL DISEASES             NON-HISPANIC WHITE                           153
HUMAN IMMUNODEFICIENCY VIRUS DISEASE                  NON-HISPANIC WHITE                            76
INFLUENZA AND PNEUMONIA                               NON-HISPANIC WHITE                           614
INTENTIONAL SELF-HARM (SUICIDE)                       NON-HISPANIC WHITE                           182
MALIGNANT NEOPLASMS                                   NON-HISPANIC WHITE                          3408
MENTAL DISORDERS DUE TO USE OF ALCOHOL                NON-HISPANIC WHITE                            57
